职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
核算会计/成本/费用,七个半裁缝（厦门）时尚服饰有限公司,厦门市思明区、厦门市集美区,5250,大专,2019-5-14 9:51,岗位职责：1、协助财务总监完善公司会计核算体系，负责公司会计基础的建设工作；2、开展日常的会计核算业务、日清月结；3、负责定期、不定期进行库存现金盘点；4、负责每月底与银行对账，并编制银行余额调节...
客户经理,金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,8000,高中,2019-5-14 9:49,岗位职责：1、负责开发有资金需求的客户；　　2、不定期拜访客户，与客户进行沟通，及时掌握客户资质，了解客户状态；3、负责接待客户的业务咨询及为客户办理各项贷款业务；4、收集客户的其他必要文件和信息...
"兼职客服专员
                            [兼职]",金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,5000,,2019-5-14 9:49,一、岗位职责：开发有资金需求的贷款客户。二、任职资格：普通话标准，声音甜美，在校大学生优先。三、薪资待遇：日薪80元+业绩提成30%+客户到访奖励20元/人，薪资按周结算，提成按单结算。四、工...
POS机推广专员,金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,8000,高中,2019-5-14 9:49,一、岗位职责：1、负责公司POS机的销售及推广。2、开拓新市场，发展新客户，提高产品市场占有率。3、维护与客户长期良好的合作关系，做好售后服务。二、岗位要求：1、有pos机销售或金融行业销售经验。...
团队主任,金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,10000,高中,2019-5-14 9:49,一、岗位职责：1、根据公司产品特点，带领营销团队拓展贷款客户资源，持续开发新客户。2、根据业务要求，定期回访老客户，维护新老客户关系。3、负责对团队成员的培训与考核。4、完成公司制定的团队销售业绩...
基金经理,惠尔明（福建）化学工业股份有限公司,厦门市湖里区,6500,本科,2019-5-14 9:48,工作内容：1、负责基金产品的设计、研发，制定相应的风险控制措施；2、进行市场调研，并制定产品发行计划及项目推介资料；3、开拓及维护产品供应商及客户，保持良好的关系；任职要求：1、金融、财务、法律...
证券代表,惠尔明（福建）化学工业股份有限公司,厦门市湖里区,0,本科,2019-5-14 9:48,工作内容1、每个季度的券商全套持续督导工作底稿收集（如月度信息披露调查表、三会决议及公告文件、公司新增的制度文件、信息披露自查报告等相关文件）2、负责公司三会（董事会、监事会、股东大会）会议文件及年...
客服顾问专员,厦门微手指信息科技有限公司,厦门市、厦门市湖里区,7500,高中,2019-5-14 9:47,【招聘条件】1、20-38周岁，品行端正，男女不限；2、对客服感兴趣，热爱客服行业者；3、为人正直诚实，肯吃苦。【岗位职责】1、具备快速的学习能力；2、性格外向、反应敏捷、表达能力强，具有较强的沟通...
客服助理,厦门微手指信息科技有限公司,厦门市湖里区,10000,高中,2019-5-14 9:47,岗位职责:（1）利用公司提供的客户资源挖掘出客户潜在的贷款需求，为客户推荐合适的贷款方案，最终达成交易。 （2）主要以电话或社交软件等营销方式与客户进行沟通。 （3）邀约客户成功后，在经理或主管的带领下与客...
房产销售精英,厦门麦田人房地产代理有限公司厦禾路分公司,厦门市、厦门市思明区、厦门市湖里区、厦门市同安区、厦门市翔安区、厦门市海沧区、厦门市集美区,7500,大专,2019-5-14 9:47,同样是做销售，房产交易可能给你带来更多机会；同样付出努力，房产交易可能给你带来丰厚收入；同样为客户服务，帮客户找到一个温暖的家可能带给你更多成就感；同样付出青春，房产交易相对容易帮你留在你付出青...
金融、财务、会计、审计,君维诚信用评估有限公司厦门分公司,厦门市、福州市,3500,本科,2019-5-14 9:47,"1、年龄23-35岁之间，具有财务,金融，审计等相关专业正规院校本科及以上学历；2、较好的金融、经济理论功底，具备一定的研究分析能力； 3、具备优秀的语言表达能力，沟通能力较强； 4、具有良好的执业操守，..."
评级分析助理,君维诚信用评估有限公司厦门分公司,厦门市,4000,本科,2019-5-14 9:47,"1、年龄23-35岁之间，具有财务,金融，审计等相关专业正规院校本科及以上学历；2、较好的金融、经济理论功底，具备一定的研究分析能力； 3、具备优秀的语言表达能力，沟通能力较强； 4、具有良好的执业操守，..."
"财务，会计，金融，审计
                            [实习]",君维诚信用评估有限公司厦门分公司,厦门市、福建省、厦门市思明区,1500,大专,2019-5-14 9:47,"1、2019年毕业，具有财务,金融，审计等相关专业正规院校大专及以上学历；2、较好的金融、经济理论功底，具备一定的研究分析能力； 3、具备优秀的语言表达能力，沟通能力较强；"
业务经理,君维诚信用评估有限公司厦门分公司,厦门市思明区,7000,本科,2019-5-14 9:47,1、具有良好的语言表达能力及分析判断能力； 2、有积极进取的精神及接受挑战的性格；3、具备较强的学习能力和优秀的沟通能力；4、负责搜集行业客户并进行沟通， 寻找业务机会；5、定期与合作客户进行沟通，...
高级投资经理,厦门福信金融控股有限公司,厦门市,0,硕士研究生,2019-5-14 9:47,岗位职责：1、负责项目投资全过程，参与公司投资管理流程及制度体系建设；2、负责对投资项目筛选、研究分析、尽职调查及提供投资建议；3、负责编写项目评估报告、可行性研究报告、立项报告等；4、负责或参与...
投资部总经理助理,厦门福信金融控股有限公司,厦门市思明区,0,硕士研究生,2019-5-14 9:47,岗位职责：1、负责项目投资全过程，参与公司投资管理流程及制度体系建设；2、负责对投资项目筛选、研究分析、尽职调查及提供投资建议；3、负责编写项目评估报告、可行性研究报告、立项报告等；4、负责或参与...
资金经理,厦门福信金融控股有限公司,厦门市,0,本科,2019-5-14 9:47,岗位职责：1、负责金融行业以及市场的研究和评估；2、负责融资方案的策划，编制融资项目的可行性分析报告，提出融资项目的具体运作方案；3、负责与目标融资机构例如银行进行商谈，确认融资的具体方案；4、负...
电话客服,厦门雄莲芯商务咨询有限公司,厦门市思明区,6500,高中,2019-5-14 9:47,"工作内容：通过电话方式.信函与相关客户沟通,协助处理信用卡或.贷款逾期客户的处理，指导客户正确缴费，督促客户及时还款。----------------------------------------------------------------------------薪资..."
基金经理,华龙证券股份有限公司福建分公司,厦门市思明区,8000,本科,2019-5-14 9:46,1、岗位职责：1.1、全面负责公司投研部的日常管理工作；1.2、制订公司投资研究计划并组织实施，提供及时有效的研究支持；1.3、调研同业机构客户服务创新情况和客户需求，吸收借鉴同业创新成果和进行自主创新；...
财富管理中心副总监,华龙证券股份有限公司福建分公司,厦门市思明区,22500,本科,2019-5-14 9:46,岗位职责：1、根据营业部的业务发展战略，协助部门总监制定部门战略规划和产品销售策略计划；2、负责建立、补充、发展、培养理财经理队伍；3、负责团队营销渠道的公关、协调、维护、管理；4、利用自身资源建...
高级客户经理,华龙证券股份有限公司福建分公司,厦门市思明区,11500,大专,2019-5-14 9:46,一、岗位职责：1. 证券经纪业务、渠道开发维护、新老客户维护及二次开发。2. 投行业务、私募机构、资管业务的开发。3. 公司其他创新型业务的开拓，产品销售。二、任职要求：1、40岁以下，大专以上学历，...
财富管理中心 理财经理,华龙证券股份有限公司福建分公司,厦门市思明区,16000,本科,2019-5-14 9:46,岗位职责：1、私募产品的引进及金融产品的推广销售；2、负责开发高净值客户，挖掘客户财富管理需求，为客户制订合适的资产配置方案；3、利用自身资源建立有效合作渠道，负责银行、信托、基金等渠道的开拓；4...
"证券经纪人
                            [兼职]",华龙证券股份有限公司福建分公司,厦门市,0,,2019-5-14 9:46,岗位要求：1、具备证券从业资格，熟悉证券业务，大专以上学历，年龄不限（客户资源丰富者可适当放宽要求）；2、正直诚实，品行良好，有较强的风险意识，综合素质较高；3、对证券行业和营销工作有浓厚兴趣，善...
证券业务/证券销售,华龙证券股份有限公司福建分公司,厦门市思明区,7500,大专,2019-5-14 9:46,一、岗位职责：1、开发和维护营销渠道，开发新客户，组织策划营销活动；2、通过手机开户、网上开户、现场开户的等方式指导客户办理证券账户；3、对老客户进行日常维护，建立良好关系进行二次开发和转介绍开发...
客户经理,华龙证券股份有限公司福建分公司,厦门市思明区,7500,,2019-5-14 9:46,一、岗位职责：1.通过手机开户、网上开户、现场开户等方式指导客户办理证券账户。2.对新、老客户进行日常维护，建立良好关系进行二次开发和转介绍开发。3.开发和维护营销渠道（银行、社区等），通过营销渠道开...
数据挖掘分析师,趣游（厦门）科技有限公司,厦门市湖里区、福建省、厦门市,9000,硕士研究生,2019-5-14 9:45,岗位职责：1. 主导整个项目数据收集和分析流程，精准提炼数据和分析，形成结论，并跟踪反馈整个过程；2. 熟悉游戏分析的相关指标体系，有自己的深入见解；有ARPG、传奇类游戏分析经验的优先；3. 独立主导建设...
总经理助理,众意邦仁健康科技（厦门）有限公司,厦门市,9000,本科,2019-5-14 9:45,岗位职责:1.协助总经理（女）处理日常行程安排；2.收集整理行业资讯、信息、资源关系，维护并有效地资源整合、提供给总经理。3.协助总经理处理各项商务活动和外联活动并就后续的落实跟进，协调沟通外部公共关...
租赁公司风控总监,厦门元谷节能环保集团有限公司,厦门市思明区,11500,本科,2019-5-14 9:44,一、岗位职责：1.根据公司战略要求和业务发展规划，制定并不断完善风险管理内部控制体系，包括风险控制体系、制度流程体系、组织和监督评价体系。完善项目管理和风险防范机制，加强业务审核、流程管控、资产管理等...
数据分析师,厦门多快好省网络科技有限公司,厦门市、厦门市思明区,12000,本科,2019-5-14 9:41,"职位诱惑：弹性上班时间，周末双休，缴纳五险一金薪酬福利好,平台背景强,成长空间大,团队氛围好职位描述：你将加入的团队：谁牛金融是互联网金融行业中专注于基金投资的平台。由厦门市鑫鼎盛控股有限公..."
抵押业务员+双休,厦门市恒辰商务服务有限公司,厦门市思明区,9000,,2019-5-14 9:41,岗位职责：1、负责搜集新客户的资料并进行沟通，开发新客户；2、通过电话与客户进行有效沟通了解客户需求，寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟...
代办专员（双休+医社保）,厦门市恒辰商务服务有限公司,厦门市思明区,4000,,2019-5-14 9:41,一、岗位职责：1、推广渠道、和直接客户业务2、对客户的资信状况作出全面了解，向客户推荐适合的金融按揭方式，并配合销售顾问达成销售。3、收集按揭客户的资料并录入系统4、收集已审核的客户资料，办理按揭...
综合金融客户经理,厦门市恒辰商务服务有限公司,厦门市思明区,3500,,2019-5-14 9:41,岗位要求： 1.金融、市场营销、经济类专业等；2.敏锐的市场洞察力和拓展意识； 3.具备良好的沟通谈判能力、团队协作能力以及人际交往能力。 4.具备良好的心态，能承受工作压力； 5.有从事过金融行业、肯吃...
电话销售,厦门可可派信息咨询有限公司,厦门市湖里区,6000,,2019-5-14 9:41,"岗位职责：1、负责了解新客户的资料并进行沟通，开发意向新客户，客户资源公司提供；2、通过电话与客户进行有效沟通了解客户需求, 寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的最大潜力；4..."
双休+人事行政,厦门可可派信息咨询有限公司,厦门市湖里区,4000,,2019-5-14 9:41,1、 协助人事主管制订完善、组织实施人力资源管理有关规章制度和工作流程； 　　2、 监督员工考勤、办理请休假手续； 　　3、 组织、安排应聘人员的面试； 　　4、 协助实施员工培训活动； 　　5、 完成人事...
网络客服,厦门可可派信息咨询有限公司,厦门市湖里区,6000,,2019-5-14 9:41,1、通过网络渠道回访客户，收集并整理好客户资料，将客户资料对接给销售人员； 2、维护好客户资料； 3、妥善保管电脑资料，不泄露公司信息。 福利待遇：1、底薪4000+高抽成2、工作时间 早上09：00-12：00...
应届生储备干部,厦门市房博士房产代理有限公司,厦门市思明区,4500,大专,2019-5-14 9:40,公司为您提供：1、人性到位的薪酬支持；2、宽敞整洁的办公职场；3、专业全面的培训计划；4、主动到位的后勤支援；5、实力强大的公司后盾。注：本公司提供新人入门班（四天），主管提升班等各职级的提...
店长,厦门市房博士房产代理有限公司,厦门市思明区,11500,大专,2019-5-14 9:40,工作职责：1、搜集整理房源信息及客户资源，维护各房产租售网站的运营； 2、负责客户接待、带看、签约、交税、过户等交易过程服务；3、不断了解客户需求，为客户匹配房源，提供房屋买卖或租赁的解决方案，给客...
实习生,厦门宁水投资管理有限公司,厦门市,1750,,2019-5-14 9:40,岗位职责：1、协助完成部门的相关工作；2、完成相关方案及台账的整理；3、掌握良好的数据收集和分析技能。任职要求：1、金融背景相关专业；2、男女不限，性格开朗；3、对工作有热忱，做...
私募基金销售,厦门宁水投资管理有限公司,厦门市思明区、厦门市,11500,,2019-5-14 9:40,岗位职责：1、在公司授权范围内，利用各种资源和渠道发展新客户；2、收集市场信息和客户建议，向客户传递公司产品与服务信息；3、为客户提供综合性基础服务；4、与客户进行沟通，及时掌握客户需要，了解客户...
投资专员,鹭燕医药股份有限公司,厦门市湖里区,4500,本科,2019-5-14 9:38,岗位职责1、配合公司战略开展行业调研分析，发掘投资领域或项目机会； 2、参与寻找、开发和筛选投资项目，做出评估意见，提供投资项目建议； 3、协助对拟投资项目的调研、洽谈、尽职调查、合同起草等工作； ...
金融分析师,厦门如意三宝咨询有限公司,厦门市海沧区、厦门市思明区,6000,,2019-5-14 9:38,1. 金融相关专业；2. 具有金融行业相关岗位工作经验；专业知识扎实；3. 具备良好的职业道德，责任心强，有团队合作精神；4. 熟悉国际、国内金融产品，有银行、证券等金融服务公司从业经验者优先；5.为公司客...
操盘手,厦门如意三宝咨询有限公司,厦门市海沧区,0,,2019-5-14 9:38,公司有专业的分析师提供指导进行下单操盘任职资格:有做过股票、期货、贵金属、外汇等交易产品，有兴趣学习操盘者皆可来面试工作时间:上班时间8：30-11:30.13:00--17：00 五天7小时制，双休，享受国家正常法...
业务员,厦门如意三宝咨询有限公司,厦门市海沧区,4500,,2019-5-14 9:38,【岗位要求】1.金融、市场营销等相关专业 应届生优先；2.善于把握客户心理，责任心强，有耐心，能吃苦耐劳；3.热爱销售行业，具备服务意识，能承受一定工作压力；4.具有亲和力，较强的执行力；5.同行业、...
电销招商,厦门如意三宝咨询有限公司,厦门市海沧区,0,大专,2019-5-14 9:38,"岗位职责： 1、通过电话进行产品销售，完成各项销售指标； 2、通过电话沟通了解客户需求, 寻求销售机会并完成销售业绩； 3、开发新客户，拓展与老客户的业务，建立客户档案。职位要求：1.性格开朗，思维..."
客户经理 急,厦门如意三宝咨询有限公司,厦门市,0,大专,2019-5-14 9:38,岗位职责：1、通过各种方式开发公司各项业务及证券投资市场，拓展市场。2、收集、整理、分析市场信息，开发新客户，维护老客户。3、有计划，深入挖掘客户需求，了解和掌握市场动向与客户需求。4、服务公司现...
中级客服人员,齐营（厦门）商务咨询有限公司,厦门市思明区,6250,大专,2019-5-14 9:37,岗位职责：1、负责海外保险的售前售后在线咨询回复。任职资格：1、良好的沟通技巧、表达能力和服务精神。2、有海外险金融工作经验者优先。
销售经理（泉州地区）,厦门利施融资租赁有限公司,泉州市,3500,无,2019-5-14 9:36,岗位职责：1、按照公司销售策略逐步开发客户，完成公司规定的销售指标；2、通过现有的4S店渠道逐步开发企业和个人客户，推广汽车金融产品，扩大市场份额；3、对4S店销售人员开展培训及辅导，建立与4S店销售人...
投资经理（股权投资方向）,福建七匹狼实业股份有限公司,厦门市思明区,0,硕士研究生,2019-5-14 9:35,岗位职责1、 根据公司投资方向，协助寻找和挖掘有潜在投资价值的项目；2、根据公司投资流程，对拟投项目进行初步尽调，并出具项目价值投资分析报告；3、对拟投项目进行风险评估、收益测算和退出分析，配合公司...
银行间业务交易员,厦门东经兄弟金融技术服务有限公司,厦门市、厦门市思明区,7500,大专,2019-5-14 9:33,工作职责：1、负责与各银行金融市场部、票据部、投行部的对接沟通；2、开展银行间货币市场交易的撮合（票据转贴现、同业资金拆借、信托收益权、资管计划等）3、深入维护营销公司现有金融机构客户；4、完成公...
"交易助理
                            [实习]",厦门东经兄弟金融技术服务有限公司,厦门市、厦门市思明区,4500,,2019-5-14 9:33,岗位职责：1、协助银行交易员完成相关的业务处理。2、帮助交易员做好客户关系的日常维护。3、负责扩大公司市场的影响力，完成领导交代的工作任务。任职要求：1、高等院校相关专业应届毕业生优先考虑。2...
交易员,厦门东经兄弟金融技术服务有限公司,厦门市、厦门市思明区,12500,大专,2019-5-14 9:33,岗位职责：1、负责开发、整理潜在银行客户，与银行金融市场部或者票据部保持良好的沟通        2、及时获取票据资产的价格信息、进行有效谈判、达成合作        3、分析市场行情，给予客户市场咨询、与客户建...
银行客户专员,厦门东经兄弟金融技术服务有限公司,厦门市思明区,4000,,2019-5-14 9:33,岗位职责：1、负责与各银行金融市场部、票据部、投行部的对接沟通；2、开展银行间货币市场交易的撮合（票据转贴现、同业资金拆借、信托收益权、资管计划等）3、深入维护营销公司现有金融机构客户；4、完成...
注册会计师,和做（厦门）企业服务有限公司,厦门市思明区,6000,无,2019-5-14 9:33,1、注册会计师（执业满五年）。2、稳定，沟通能力较强。
逾期账款处理专员,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,中专,2019-5-14 9:32,【职务说明】※通过电话通知银行逾期还款客户，了解并给予处理方案；※系统化客户管理及维护，完成每月订立的业务目标；※案件前作业评估、追踪与协调。【职位要求】※中专以上学历；※口齿清晰，普通...
金融账款处理专员,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,大专,2019-5-14 9:32,【职务说明】（购买医社保）※接受银行委托以合理合法方式处理银行信用卡、信用贷款等逾期还款事项；※通过电话与客户协商债务还款问题，督促客户及时还款；※客户资源均由银行提供，无需自己外出寻找客户资源...
客户服务专员（双休）,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,大专,2019-5-14 9:32,一、岗位职责：1、对银行信用卡、贷款客户提供账单通知和咨询服务。2、提醒用户及时还款，提高个人征信。3、以专业、规范的程序协助银行处理逾期账户二、任职要求：1.有一定的沟通，协调，独立处理问题...
【厦门】逾期账款处理专员,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,中专,2019-5-14 9:32,【职务说明】※通过电话通知银行逾期还款客户；※以专业、规范的程序协助银行处理逾期账户；※无需自己开发客户，无需外出；【职位要求】※中专以上学历；※口齿清晰，普通话标准；※具备良好的沟通协...
金融贷后管理专员（高薪+双休）,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,大专,2019-5-14 9:32,【职务说明】银行委托以合理合法方式处理银行信用卡、信用贷款等逾期还款事项；※通过电话与客户协商债务还款问题，督促客户及时还款；※客户资源均由银行提供，无需自己外出寻找客户资源。【职位要求】...
催收组长,厦门鋐胜金融技术服务有限公司,厦门市思明区,9000,大专,2019-5-14 9:32,【职务说明】※能够带领组员完成业绩目标，并能够制定完成目标规划；※协助进行逾期数据分析，帮助组员处理日常催收问题；※组建好团队制度执行及创建团队文化；※与组员一起针对逾期还款客户进行提醒、催促...
不良资产维护专员,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,大专,2019-5-14 9:32,【职务说明】※接受银行委托以合理合法方式处理银行信用卡、信用贷款等逾期还款事项；※通过电话与客户协商债务还款问题，督促客户及时还款；※客户资源均由银行提供，无需自己外出寻找客户资源。【职位要...
银行账款通知专员,厦门鋐胜金融技术服务有限公司,厦门市思明区,7500,大专,2019-5-14 9:32,【职务说明】※接受银行委托以合理合法方式处理银行信用卡、信用贷款等逾期还款事项；※通过电话与客户协商债务还款问题，督促客户及时还款；※客户资源均由银行提供，无需自己外出寻找客户资源。【职位要...
法务催收专员,厦门鋐胜金融技术服务有限公司,厦门市思明区,9000,大专,2019-5-14 9:32,"【职务说明】※协助处理银行客户逾期账款,维护银行资产；※协助处理公司购买的不良资产包，进行法务作业；※系统化管理及维护相关客户资料，完成每月订立的业务目标； ※法务及法务前作业评估、追踪与协调。..."
电话销售,厦门市恒信普惠财务咨询有限公司,厦门市,4500,高中,2019-5-14 9:32,"岗位职责：1、根据公司提供的资源开发新客户；2、通过电话与客户进行有效沟通了解客户需求,寻找销售机会并完成销售业绩；3、提升销售进度，对意向客户进行有效的跟进。任职要求：1、口齿清晰，普通话流利..."
推广专员,厦门市恒信普惠财务咨询有限公司,厦门市,7500,高中,2019-5-14 9:32,【任职资格】1、年龄20-30周岁，热爱销售，勇于挑战；2、性格热情开朗，能积极主动为顾客提供优质服务；3、具有较强的学习能力，能在公司培训中快速掌握房产相关专业知识；4、具有良好团队合作精神，愿意为...
金融销售,厦门市恒信普惠财务咨询有限公司,厦门市,6000,,2019-5-14 9:32,一、岗位职责：1、本公司是银行的战略合作伙伴，诚信经营银行正规房产抵押贷款，费率低放款快；2、公司提供客户资源及相应专业技能技巧培训3、不限专业有无经验均可，工作很简单，上级会协助你洽谈客户直至成...
团队经理,厦门市恒信普惠财务咨询有限公司,厦门市,11500,大专,2019-5-14 9:32,一、岗位职责1、负责业务团队的建设和管理，落实各项市场活动；?? 2、定期组织团队相关业务的培训、提升团队整体业务水平；?? 3、制定个人及团队工作计划，并能高效执行、创造性的完成?；4、定期组织项目周...
高级客户经理,厦门市恒信普惠财务咨询有限公司,厦门市,11250,大专,2019-5-14 9:32,一、岗位职责1、负责有贷款需求客户的开发与跟进、接待及业务疑问解答；2、负责为潜在客户设计合理的融资方案（抵押贷、消费贷、信用贷等），及收集相关客户资料并整理；3、协助维护好公司业务渠道（开发商、...
信贷经理,厦门市恒信普惠财务咨询有限公司,厦门市,11500,大专,2019-5-14 9:32,职位描述 1、负责公司产品的宣传、介绍、销售，完成销售指标； 2、开拓新市场，发展新客户，推广公司营销活动； 3、负责对提出贷款申请的个人财务状况及贷款能力进行评估； 4、负责维护客户，为客户提供优质...
贷款主任,厦门市恒信普惠财务咨询有限公司,厦门市,9000,大专,2019-5-14 9:32,岗位职责：1、能够有效开发客户资源；2、负责客户贷款资料收集和审核；3、管理客户关系，完成销售任务；4、熟悉并掌握银行多类贷款产品政策；任职要求：1、从事过金融服务与房屋中介工作者优先；2、大...
信贷主任,厦门市恒信普惠财务咨询有限公司,厦门市,11250,大专,2019-5-14 9:32,岗位职责：1、 负责搜集新客户的资料并进行沟通，开发新客户；2、 与客户进行有效沟通了解客户需求， 寻找销售机会并完成销售业绩；3、 维护老客户的业务，挖掘客户的最大潜力；4、 定期与合作客户进行沟通...
贷款业务员,厦门市恒信普惠财务咨询有限公司,厦门市思明区、厦门市集美区、厦门市湖里区、厦门市,9000,,2019-5-14 9:32,"岗位职责：  1、负责公司产品的销售及推广；  2、根据市场营销计划，完成部门销售指标；  3、开拓新市场,发展新客户,增加产品销售范围；  4、负责辖区市场信息的收集及竞争对手的分析；  5、负责销售区域..."
贷款经理,厦门市恒信普惠财务咨询有限公司,厦门市、厦门市思明区、厦门市集美区、厦门市湖里区,11500,,2019-5-14 9:32,岗位职责： 1、负责积极发掘客户贷款需求和推广贷款产品；2、负责接待客户业务咨询，为客户办理相关业务； 3、负责收集客户必要文件和信息，为审核提供依据； 4、负责维护客户，为客户提供优质服务。 任...
信贷主管,厦门市恒信普惠财务咨询有限公司,厦门市,9000,,2019-5-14 9:32,"岗位职责：1、负责公司产品的销售及推广；2、参与制定市场营销计划，并完成部门销售指标；3、开拓新市场,增加产品销售范围；4、管理维护客户关系以及与客户间的长期战略合作计划。5、根据个人职业规划，多..."
贷款主管,厦门市恒信普惠财务咨询有限公司,厦门市、厦门市集美区、厦门市湖里区、厦门市思明区,11500,大专,2019-5-14 9:32,岗位职责： 1、参与公司贷款业务的运作，完成本部门的工作计划和目标。 2、开拓目标市场，根据客户的需求提供专业、个性化的银行贷款服务。 3、定期与客户交流，并提供相应的业务咨询服务，维护良好的信任关系...
贷款专员,厦门市恒信普惠财务咨询有限公司,厦门市,12000,,2019-5-14 9:32,岗位职责：1. 负责贷款产品推广，发挥个人所长开拓客户，并维护好客户关系  （不限制方法方式金只要能找到缺钱客户，成功放款就可以提佣）； 2. 负责接待及回复客户关于贷款问题的咨询； 3. 负责维护客户，为...
抵押客户经理,厦门市恒信普惠财务咨询有限公司,厦门市,0,高中,2019-5-14 9:32,岗位职责：1、负责贷款产品营销推广，以公司提供的和个人资源来开发新客户，并与客户关系维护；2、负责接待客户的业务咨询及为客户办理各项贷款业务；3、收集客户的其他必要文件和信息，为信贷决策提供必要的...
抵押主管,厦门市恒信普惠财务咨询有限公司,厦门市、厦门市思明区、厦门市集美区、厦门市湖里区,11500,高中,2019-5-14 9:32,"岗位职责：1、负责公司产品的销售及推广；2、参与制定市场营销计划，并完成部门销售指标；3、开拓新市场,增加产品销售范围；4、管理维护客户关系以及与客户间的长期战略合作计划。5、根据个人职业规划，多..."
信贷客户经理,厦门市恒信普惠财务咨询有限公司,厦门市,11500,,2019-5-14 9:32,岗位职责：1、负责贷款产品营销推广，以公司提供的和个人资源来开发新客户，并与客户关系维护；2、负责接待客户的业务咨询及为客户办理各项贷款业务；3、收集客户的其他必要文件和信息，为信贷决策提供必要的...
贷款客户经理,厦门市恒信普惠财务咨询有限公司,厦门市,9000,,2019-5-14 9:32,岗位职责:1、根据公司提供的客户资源，通过电话.网络.陌拜等自由方式独立开拓客户，2、根据客户的实际情况，提供相应的配对的产品，3、根据当前经济形势解答客户的各项咨询；4、协助有需求客户核查资质、匹...
信贷业务员,厦门市恒信普惠财务咨询有限公司,厦门市,11500,,2019-5-14 9:32,岗位职责：1、信贷销售：开拓销售渠道，主动寻找和开发客户，销售公司信贷产品；2、信贷评审：受理客贷款申请，并对客户贷款申请进行调查、分析、评估和初审；3、客户关系：维护客户，为客户提供优质的贷前、...
抵押业务员,厦门市恒信普惠财务咨询有限公司,厦门市、厦门市思明区、厦门市集美区、厦门市湖里区,11500,大专,2019-5-14 9:32,岗位职责：1、负责贷款产品营销推广，以公司提供的和个人资源来开发新客户，并与客户关系维护；2、负责接待客户的业务咨询及为客户办理各项贷款业务；3、收集客户的其他必要文件和信息，为信贷决策提供必要的...
客服专员,厦门金美信消费金融有限责任公司,厦门市思明区,6000,大专,2019-5-14 9:31,岗位职责：1、受理客户业务咨询、问题处理；2、客户意见、问题分析；      3、负责客服业务梳理、话术编辑整理；4、协助搭建客服团队。                           任职要求：1、大专以上学历；2、...
审批专员,厦门金美信消费金融有限责任公司,厦门市思明区,6000,本科,2019-5-14 9:31,岗位职责：1、遵照公司信贷审批政策及相关流程进行信贷审批，审查贷款数据的合法性、准确性、完整性；2、落实贷款申请人身分核查，辨识证明文件，评估还款能力、还款意愿，执行信用核查，确认案件符合政策规范；...
基金经理,厦门市石智投资管理有限公司,厦门市集美区,27500,本科,2019-5-14 9:30,岗位职责： 1、全面负责公司投研部的日常管理工作； 2、根据公司的投资战略，制订公司投资研究计划并组织实施，为投资部门的投资活动提供及时有效的研究支持； 3、对宏观经济有一定的预判分析能力。能够结合国...
行业研究员,厦门市石智投资管理有限公司,厦门市集美区,6000,,2019-5-14 9:30,【寻找价值投资者】 我们招聘的不是员工，是一起实现梦想的合作伙伴…… 如果你是一位很想证明自己的90后，或是不甘于现状不想继续打工的80后，请加入我们石智资本精英团队！!！ 在这里，我们没有官僚教条主义...
渠道总监/销售总监/理财总监,厦门市石智投资管理有限公司,厦门市集美区,20000,大专,2019-5-14 9:30,岗位职责：1、根据公司战略发展要求，形成全面的销售战略，高效执行销售计划并完成公司制定的销售任务；2、市场分析，行业预测，挖掘整合销售渠道及资源，为公司经营目标制定提供依据；3、全面负责私募证券基...
基金运营专员,厦门市石智投资管理有限公司,厦门市集美区,6750,大专,2019-5-14 9:30,岗位职责：1、基金产品在基金业协会的备案及后续信息更新等基金日常运营管理；2、负责基金客户的认购、申购、追加、赎回、转受让、账户变更、私募合格投资者认定等业务的办理和管理；3、参与基金产品系统上线...
渠道经理/销售经理/理财经理,厦门市石智投资管理有限公司,厦门市集美区,15000,大专,2019-5-14 9:30,岗位职责：1、熟练掌握私募基金业务、私募基金产品知识及相关工作流程；2、积极开拓私募基金营销渠道，包括但不限于银行、信托公司、保险公司、证券公司、实业公司、自然人投资者、三方销售渠道等；3、制定并...
理财顾问/销售顾问,厦门市石智投资管理有限公司,厦门市集美区,11500,,2019-5-14 9:30,岗位职责： 1、熟练掌握私募基金业务、私募基金产品知识及相关工作流程； 2、根据业务需求，负责收集、整理、分析相关客户群的信息资料； 3、协助渠道经理开发高净值客户，为客户提供金融理财的合理化建议，提...
