职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
风险控制经理（万翔集团）,厦门翔业集团有限公司,厦门市,7000,本科,2019-5-10 10:26,工作职责：1、负责项目导入前的风险评估，参与各项业务的尽职调查，撰写尽职调查报告，协助业务人员完善业务操作模式和风险控制方案；2、负责项目运作中的风险管控与监督，关注行业、产品价格、内外环境、国家政...
投资管理部副经理,厦门象屿集团有限公司,厦门市,0,本科,2019-5-10 10:17,一、岗位职责:1、研究分析行业动向、监管要求和限制；2、负责公司投资企业董事会/风委会事项和经营管理情况的跟踪、反馈；3、负责对投资企业或项目进行后评价或专项分析；4、负责公司对外投资的组织实施和股...
资产包项目经理,厦门象屿集团有限公司,厦门市,0,,2019-5-10 10:17,岗位职责：1、负责开发不良资产管理业务机会；2、设计不良资产管理和处置方案；3、实施不良资产包的尽职调查、评估定价、风险控制和交易模式设计等工作。任职要求：1、熟悉不良资产的尽职调查、定价、维...
金融业务经理,厦门象屿集团有限公司,厦门市、上海市、福州市,0,本科,2019-5-10 10:17,岗位职责：1、根据公司发展计划，开拓公司微小企业信贷业务项目、房地产垫资、抵押贷款业务，按揭和抵押贷款类产品需求调研、产品开发、流程设计以及风险把控；2、对提出贷款申请的微小企业的财务状况及贷款能力...
经纪事务部经理（象屿房盟）,厦门象屿集团有限公司,厦门市,9000,大专,2019-5-10 10:17,厦门象屿房盟网络科技有限公司（简称“象屿房盟”）成立于2015年12月3日，注册资本2000万元，由厦门象屿资产管理运营有限公司、厦门象屿云创投资有限责任公司、珠海晟意网络科技有限公司联手打造。象屿房盟秉持用户...
融资租赁项目经理,厦门象屿集团有限公司,厦门市、上海市,0,本科,2019-5-10 10:17,岗位职责：1、负责租赁业务发展规划编制、公司各平台金融业务的融合，组织公司各平台金融产品创新及落地；2、负责租赁业务的开拓、调研、报告撰写、项目汇报、执行全过程；3、与各金融机构、企业等客户建立广...
产业金融事业部产业运管专员,厦门象屿集团有限公司,厦门市,0,本科,2019-5-10 10:17,岗位职责：1、负责整合象屿集团产业及上下游产业资源和客户资源，建立紧密的内部资源合作关系，为公司产业金融业务发展搭建对接桥梁；负责深入挖掘集团内外产业客户的金融需求，进行相应的业务匹配和资源协调，为...
财务中心储备经理,厦门象屿集团有限公司,厦门市,0,本科,2019-5-10 10:17,岗位职责:1、负责建立财务管理体系，组织集团及下属公司会计核算工作；2、负责集团及下属公司财务规划、财务分析和财务管理工作；3、负责集团及下属公司资金计划和筹措，发挥结算中心功能。任职资格:1、全...
部门经理（化工品期现结合）,厦门荣锦贸易有限公司,厦门市思明区,8000,大专,2019-5-10 10:03,1. 熟悉掌握化工品贸易的上游货源和下游销售的渠道2. 熟悉掌握化工品的期现货的交割流程3. 熟悉掌握化工品的基差交易、期限套、跨品种和跨期限套利交易4. 熟悉掌握上述交易类型的风险控制流程和体系5. 经营...
投资经理,厦门市美亚柏科信息股份有限公司,厦门市、厦门市思明区,0,本科,2019-5-10 9:54,岗位职责：1、配合公司战略开展行业调研分析，发掘投资领域或项目机会； 2、组织寻找、开发和筛选投资项目，做出评估意见，提供投资项目建议； 3、负责组织对公司拟投资项目价值分析，实施评估、测算与分析； ...
